dir,path,size
subdir,./SRR5580014/SRR5580014_1.fastq.gz,243116470
subdir,./SRR5580014/SRR5580014_2.fastq.gz,258112172
subdir,./SRR5580015/SRR5580015_1.fastq.gz,257270621
subdir,./SRR5580015/SRR5580015_2.fastq.gz,260817638
subdir,./SRR5580016/SRR5580016_1.fastq.gz,907977714
subdir,./SRR5580016/SRR5580016_2.fastq.gz,928308275
subdir,./SRR5580017/SRR5580017_1.fastq.gz,263912753
subdir,./SRR5580017/SRR5580017_2.fastq.gz,266620614
subdir,./SRR5580018/SRR5580018_1.fastq.gz,247639822
subdir,./SRR5580018/SRR5580018_2.fastq.gz,249887362
subdir,./SRR5580019/SRR5580019_1.fastq.gz,238139799
subdir,./SRR5580019/SRR5580019_2.fastq.gz,250644306
subdir,./SRR5580020/SRR5580020_1.fastq.gz,249284690
subdir,./SRR5580020/SRR5580020_2.fastq.gz,251578007
subdir,./SRR5580021/SRR5580021_1.fastq.gz,236589439
subdir,./SRR5580021/SRR5580021_2.fastq.gz,249281754
subdir,./SRR5580022/SRR5580022_1.fastq.gz,244290870
subdir,./SRR5580022/SRR5580022_2.fastq.gz,260573094
subdir,./SRR5580023/SRR5580023_1.fastq.gz,260602710
subdir,./SRR5580023/SRR5580023_2.fastq.gz,263976332
subdir,./SRR5580077/SRR5580077_1.fastq.gz,237408993
subdir,./SRR5580077/SRR5580077_2.fastq.gz,250833918
subdir,./SRR5580078/SRR5580078_1.fastq.gz,246397538
subdir,./SRR5580078/SRR5580078_2.fastq.gz,248669853
subdir,./SRR5580079/SRR5580079_1.fastq.gz,235577033
subdir,./SRR5580079/SRR5580079_2.fastq.gz,247900982
subdir,./SRR5580080/SRR5580080_1.fastq.gz,253108327
subdir,./SRR5580080/SRR5580080_2.fastq.gz,254707547
subdir,./SRR5580081/SRR5580081_1.fastq.gz,873953140
subdir,./SRR5580081/SRR5580081_2.fastq.gz,886269850
subdir,./SRR5580219/SRR5580219_1.fastq.gz,242995784
subdir,./SRR5580219/SRR5580219_2.fastq.gz,245321397
subdir,./SRR5580220/SRR5580220_1.fastq.gz,234624430
subdir,./SRR5580220/SRR5580220_2.fastq.gz,249411642
subdir,./SRR5580349/SRR5580349_1.fastq.gz,233972969
subdir,./SRR5580349/SRR5580349_2.fastq.gz,248228362
subdir,./SRR5580350/SRR5580350_1.fastq.gz,249060293
subdir,./SRR5580350/SRR5580350_2.fastq.gz,250815706
subdir,./SRR5580351/SRR5580351_1.fastq.gz,234512693
subdir,./SRR5580351/SRR5580351_2.fastq.gz,250064722
subdir,./SRR5580352/SRR5580352_1.fastq.gz,242002417
subdir,./SRR5580352/SRR5580352_2.fastq.gz,244436571
subdir,./SRR5580353/SRR5580353_1.fastq.gz,258250537
subdir,./SRR5580353/SRR5580353_2.fastq.gz,261564942
subdir,./SRR5580354/SRR5580354_1.fastq.gz,243414003
subdir,./SRR5580354/SRR5580354_2.fastq.gz,258981978
subdir,./SRR5580355/SRR5580355_1.fastq.gz,865928459
subdir,./SRR5580355/SRR5580355_2.fastq.gz,880358326
subdir,./SRR5580356/SRR5580356_1.fastq.gz,243917538
subdir,./SRR5580356/SRR5580356_2.fastq.gz,259317234
subdir,./SRR5580357/SRR5580357_1.fastq.gz,234793054
subdir,./SRR5580357/SRR5580357_2.fastq.gz,249662122
subdir,./SRR5580358/SRR5580358_1.fastq.gz,246082961
subdir,./SRR5580358/SRR5580358_2.fastq.gz,248533801
